title,year,metascore,runtime_min,director,stars,GENRE_Action,GENRE_Adventure,GENRE_Animation,GENRE_Biography,GENRE_Comedy,GENRE_Crime,GENRE_Documentary,GENRE_Drama,GENRE_Family,GENRE_Fantasy,GENRE_History,GENRE_Horror,GENRE_Music,GENRE_Musical,GENRE_Mystery,GENRE_News,GENRE_Romance,GENRE_Sci-Fi,GENRE_Sport,GENRE_Thriller,GENRE_War,GENRE_Western,MPAA_NC-17,MPAA_NR,MPAA_PG,MPAA_PG-13,MPAA_R,awarded_director,awarded_stars
The Gentlemen,2019,51.0,113.0,Guy Ritchie,"Matthew McConaughey, Charlie Hunnam, Michelle Dockery, Jeremy Strong",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Courier,2019,15.0,99.0,Zackary Adler,"Olga Kurylenko, Gary Oldman, Amit Shah, Alicia Agneson",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Line of Duty,2019,50.0,98.0,Steven C. Miller,"Giancarlo Esposito, Dina Meyer, Courtney Eaton, Aaron Eckhart",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Klaus,2019,65.0,96.0,Sergio Pablos,"Jason Schwartzman, J.K. Simmons, Rashida Jones, Will Sasso",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Midway,2019,47.0,138.0,Roland Emmerich,"Ed Skrein, Patrick Wilson, Woody Harrelson, Luke Evans",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Trick,2019,16.0,100.0,Patrick Lussier,"Omar Epps, Jamie Kennedy, Tom Atkins, Ellen Adair",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Code 8,2019,48.0,98.0,Jeff Chan,"Kari Matchett, Robbie Amell, Penny Eizenga, Lawrence Bayne",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21 Bridges,2019,51.0,99.0,Brian Kirk,"Chadwick Boseman, Sienna Miller, J.K. Simmons, Stephan James",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Dirt Music,2019,33.0,105.0,Gregor Jordan,"Kelly Macdonald, Garrett Hedlund, David Wenham, Aaron Pedersen",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
White Lie,2019,78.0,96.0,Yonah Lewis,"Kacey Rohl, Amber Anderson, Martin Donovan, Thomas Olajide",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Rest of Us,2019,74.0,80.0,Aisling Chin-Yee,"Heather Graham, Sophie Nélisse, Jodi Balfour, Abigail Pniowsky",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Sea Fever,2019,60.0,95.0,Neasa Hardiman,"Hermione Corfield, Dag Malmberg, Jack Hickey, Olwen Fouéré",0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
