title,year,metascore,mpaa_rating,runtime_min,genre,director,stars
They Will Come,Announced,,,15.0,"Short, Drama, Mystery",Alireza Esfandiarnezhad,"Neda Jebraeili, Mehran Moradi, Alireza Sani Far"
Hamilton/Jefferson,Pre-production,,,,"Short, History",Nicholas Zebrun,
Chapter X,Post-production,,,100.0,"Drama, Fantasy, Horror",Christopher Scott Bradshaw,"Michael Flynn, Chantel Flanders, Richard Dutcher, Avery Pizzuto"
A Soviet Toy Tale,Filming,,,,"Animation, Short",Kristina Lanis,"Liza Mircheva, Yana Lyapunova, Victor Averyanov, Igor Pavlovs"
Saksham,Post-production,,,,Drama,Shubhanshu Satyadeo,"Raayo S. Bakhirta, Brijendra Kala, Ranjeet, Heeba Shah"
The Governess,Pre-production,,,,"Short, Comedy, Crime",Martin Horlacher,"Craig Walker, Rosie Keogh, Gil Balfas, Hunter Clarke"
Inner U Diagnosed,Filming,,,,Documentary,Kathryn Shasha,
The Richest Little City in the World,Filming,,,,"Documentary, Short, History",Nicholas Zebrun,"Nicholas Zebrun, Richard F. Selcer"
Alive,,,,5.0,"Short, Drama, Fantasy",Abdolreza Salimi,Ehsan Khosravi
Baccalaureate,Announced,,,,"Comedy, Drama",Saurabh Kikani,
Heads,,,,45.0,History,Jeffrey Tenney,"George Cron, Ducon Williams, Jean Chanda, Robert Montgomery"
Coming Back for You,Filming,,,105.0,Horror,Dylan DiAntonio,"Brandy Clarke, Courtney Danforth, Aurora Grabill, Katie Petkiewich"
The Water That I Shall Not Drink,Post-production,,,,"Short, Drama",Pedro Caldeira,"Diogo Andrade, Miguel Sá Nogueira, Carla Magalhães, António Pavia da Silva"
Parasitic,Pre-production,,,,"Action, Adventure, Sci-Fi",Bailee Watters,
Assaig d'amor,Pre-production,,,,Drama,Josep Duran,
Knit of the Dead,Post-production,,,,"Short, Comedy, Horror",Alana Auden,"Francesca Waters, Nina Thomson, Ryan Johnson, Zelda Yates"
The Grey Area,Filming,,,,Documentary,Keagan Anfuso,"Keagan Anfuso, Cindy Hogan, Dean Phillippi Sr., Thomas Hamby"
Suck It Up,Announced,,,11.0,"Short, Drama",Mason Beals,"Les Best, Sam Beals"
As Promised - Return to Fénétrange,Post-production,,,60.0,"Documentary, Romance",Troy Antoine LaFaye,
Caveman,Post-production,,,,Documentary,Tommaso Landucci,Filippo Dobrilla
La Hermosa Fantasía del Propósito Final,Post-production,,,,"Drama, Fantasy",Iván Preuss,"Salvador Garay, Javier Sala, Martina Vivanco, Borja Andía"
