title,year,director,stars
The Gentlemen,2019,Guy Ritchie,"Matthew McConaughey, Charlie Hunnam, Michelle Dockery, Jeremy Strong"
The Courier,2019,Zackary Adler,"Olga Kurylenko, Gary Oldman, Amit Shah, Alicia Agneson"
Line of Duty,2019,Steven C. Miller,"Giancarlo Esposito, Dina Meyer, Courtney Eaton, Aaron Eckhart"
Klaus,2019,Sergio Pablos,"Jason Schwartzman, J.K. Simmons, Rashida Jones, Will Sasso"
Midway,2019,Roland Emmerich,"Ed Skrein, Patrick Wilson, Woody Harrelson, Luke Evans"
Trick,2019,Patrick Lussier,"Omar Epps, Jamie Kennedy, Tom Atkins, Ellen Adair"
Code 8,2019,Jeff Chan,"Kari Matchett, Robbie Amell, Penny Eizenga, Lawrence Bayne"
21 Bridges,2019,Brian Kirk,"Chadwick Boseman, Sienna Miller, J.K. Simmons, Stephan James"
Dirt Music,2019,Gregor Jordan,"Kelly Macdonald, Garrett Hedlund, David Wenham, Aaron Pedersen"
White Lie,2019,Yonah Lewis,"Kacey Rohl, Amber Anderson, Martin Donovan, Thomas Olajide"
The Rest of Us,2019,Aisling Chin-Yee,"Heather Graham, Sophie Nélisse, Jodi Balfour, Abigail Pniowsky"
Sea Fever,2019,Neasa Hardiman,"Hermione Corfield, Dag Malmberg, Jack Hickey, Olwen Fouéré"
Babyteeth,2019,Shannon Murphy,"Eliza Scanlen, Michelle Lotters, Toby Wallace, Sora Wakaki"
The Aeronauts,2019,Tom Harper,"Felicity Jones, Eddie Redmayne, Himesh Patel, Vincent Perez"
The Informer,2019,Andrea Di Stefano,"Joel Kinnaman, Rosamund Pike, Common, Mateusz Kosciukiewicz"
Jacob's Ladder,2019,David M. Rosenthal,"Michael Ealy, Jesse Williams, Nicole Beharie, Guy Burnet"
Anna,2019,Luc Besson,"Sasha Luss, Helen Mirren, Luke Evans, Cillian Murphy"
Bolden,2019,Dan Pritzker,"Gary Carr, Erik LaRay Harvey, Ian McShane, Michael Rooker"
After Class,2019,Daniel Schechter,"Justin Long, Kate Berlant, Lynn Cohen, Michael Godere"
Phil,2019,Greg Kinnear,"Greg Kinnear, Emily Mortimer, Bradley Whitford, Jay Duplass"
Billboard,2019,Zeke Zelker,"Eric Roberts, Heather Matarazzo, Oakes Fegley, Darlene Cates"
Ode to Joy,2019,Jason Winer,"Martin Freeman, Morena Baccarin, Jake Lacy, Melissa Rauch"
Captive State,2019,Rupert Wyatt,"John Goodman, Ashton Sanders, Jonathan Majors, Vera Farmiga"
Auggie,2019,Matt Kane,"Larisa Oleynik, Richard Kind, Christine Donlon, Susan Blackwell"
The Peanut Butter Falcon,2019,Tyler Nilson,"Zack Gottsagen, Ann Owens, Dakota Johnson, Bruce Dern"
2040,2019,Damon Gameau,"Damon Gameau, Eva Lazzaro, Zoë Gameau, Davini Malcolm"
Bait,2019,Mark Jenkin,"Edward Rowe, Mary Woodvine, Simon Shepherd, Giles King"
Cold Pursuit,2019,Hans Petter Moland,"Liam Neeson, Laura Dern, Micheál Richardson, Michael Eklund"
Sea of Shadows,2019,Richard Ladkani,"Romel Eduardo Ledezma Abaroa, Rafael Pacchiano Alamán, Hector Capetillo, Andrea Crosta"
Judy & Punch,2019,Mirrah Foulkes,"Mia Wasikowska, Damon Herriman, Benedict Hardie, Jacek Koman"
Velvet Buzzsaw,2019,Dan Gilroy,"Jake Gyllenhaal, Rene Russo, Zawe Ashton, Tom Sturridge"
Monos,2019,Alejandro Landes,"Sofia Buenaventura, Julián Giraldo, Karen Quintero, Laura Castrillón"
One Child Nation,2019,Nanfu Wang,"Nanfu Wang, Zaodi Wang, Zhimei Wang, Tunde Wang"
The Last Black Man in San Francisco,2019,Joe Talbot,"Jimmie Fails, Jonathan Majors, Rob Morgan, Tichina Arnold"
Close,2019,Vicky Jewson,"Noomi Rapace, Olivia Jewson, Abdellatif Chaouqi, Sophie Nélisse"
Sometimes Always Never,2018,Carl Hunter,"Bill Nighy, Sam Riley, Alice Lowe, Jenny Agutter"
Night Hunter,2018,David Raymond,"Henry Cavill, Ben Kingsley, Alexandra Daddario, Stanley Tucci"
The Clovehitch Killer,2018,Duncan Skiles,"Dylan McDermott, Charlie Plummer, Samantha Mathis, Madisen Beaty"
Anthropocene: The Human Epoch,2018,Jennifer Baichwal,Alicia Vikander
The Wind,2018,Emma Tammi,"Caitlin Gerard, Julia Goldani Telles, Ashley Zukerman, Dylan McTee"
The Third Wife,2018,Ash Mayfair,"Hong Chuong Nguyen, Long Le Vu, Nu Yên-Khê Tran, Maya"
Hotel Mumbai,2018,Anthony Maras,"Dev Patel, Armie Hammer, Nazanin Boniadi, Anupam Kher"
Final Score,2018,Scott Mann,"Dave Bautista, Pierce Brosnan, Ray Stevenson, Martyn Ford"
Boy Erased,2018,Joel Edgerton,"Lucas Hedges, Nicole Kidman, Joel Edgerton, Russell Crowe"
Suspiria,2018,Luca Guadagnino,"Chloë Grace Moretz, Tilda Swinton, Doris Hick, Malgorzata Bela"
The Other Side of the Wind,2018,Orson Welles,"John Huston, Oja Kodar, Peter Bogdanovich, Susan Strasberg"
Kin,2018,Jonathan Baker,"Myles Truitt, Jack Reynor, Dennis Quaid, Zoë Kravitz"
