title,year,stars
The Gentlemen,2019,"Matthew McConaughey, Charlie Hunnam, Michelle Dockery, Jeremy Strong"
The Courier,2019,"Olga Kurylenko, Gary Oldman, Amit Shah, Alicia Agneson"
Line of Duty,2019,"Giancarlo Esposito, Dina Meyer, Courtney Eaton, Aaron Eckhart"
Klaus,2019,"Jason Schwartzman, J.K. Simmons, Rashida Jones, Will Sasso"
Midway,2019,"Ed Skrein, Patrick Wilson, Woody Harrelson, Luke Evans"
Trick,2019,"Omar Epps, Jamie Kennedy, Tom Atkins, Ellen Adair"
Code 8,2019,"Kari Matchett, Robbie Amell, Penny Eizenga, Lawrence Bayne"
21 Bridges,2019,"Chadwick Boseman, Sienna Miller, J.K. Simmons, Stephan James"
Dirt Music,2019,"Kelly Macdonald, Garrett Hedlund, David Wenham, Aaron Pedersen"
White Lie,2019,"Kacey Rohl, Amber Anderson, Martin Donovan, Thomas Olajide"
The Rest of Us,2019,"Heather Graham, Sophie Nélisse, Jodi Balfour, Abigail Pniowsky"
Sea Fever,2019,"Hermione Corfield, Dag Malmberg, Jack Hickey, Olwen Fouéré"
Babyteeth,2019,"Eliza Scanlen, Michelle Lotters, Toby Wallace, Sora Wakaki"
The Aeronauts,2019,"Felicity Jones, Eddie Redmayne, Himesh Patel, Vincent Perez"
The Informer,2019,"Joel Kinnaman, Rosamund Pike, Common, Mateusz Kosciukiewicz"
Jacob's Ladder,2019,"Michael Ealy, Jesse Williams, Nicole Beharie, Guy Burnet"
Anna,2019,"Sasha Luss, Helen Mirren, Luke Evans, Cillian Murphy"
Bolden,2019,"Gary Carr, Erik LaRay Harvey, Ian McShane, Michael Rooker"
After Class,2019,"Justin Long, Kate Berlant, Lynn Cohen, Michael Godere"
Phil,2019,"Greg Kinnear, Emily Mortimer, Bradley Whitford, Jay Duplass"
Billboard,2019,"Eric Roberts, Heather Matarazzo, Oakes Fegley, Darlene Cates"
Ode to Joy,2019,"Martin Freeman, Morena Baccarin, Jake Lacy, Melissa Rauch"
Captive State,2019,"John Goodman, Ashton Sanders, Jonathan Majors, Vera Farmiga"
Auggie,2019,"Larisa Oleynik, Richard Kind, Christine Donlon, Susan Blackwell"
The Peanut Butter Falcon,2019,"Zack Gottsagen, Ann Owens, Dakota Johnson, Bruce Dern"
2040,2019,"Damon Gameau, Eva Lazzaro, Zoë Gameau, Davini Malcolm"
Bait,2019,"Edward Rowe, Mary Woodvine, Simon Shepherd, Giles King"
Cold Pursuit,2019,"Liam Neeson, Laura Dern, Micheál Richardson, Michael Eklund"
Sea of Shadows,2019,"Romel Eduardo Ledezma Abaroa, Rafael Pacchiano Alamán, Hector Capetillo, Andrea Crosta"
Judy & Punch,2019,"Mia Wasikowska, Damon Herriman, Benedict Hardie, Jacek Koman"
Velvet Buzzsaw,2019,"Jake Gyllenhaal, Rene Russo, Zawe Ashton, Tom Sturridge"
Monos,2019,"Sofia Buenaventura, Julián Giraldo, Karen Quintero, Laura Castrillón"
One Child Nation,2019,"Nanfu Wang, Zaodi Wang, Zhimei Wang, Tunde Wang"
The Last Black Man in San Francisco,2019,"Jimmie Fails, Jonathan Majors, Rob Morgan, Tichina Arnold"
Close,2019,"Noomi Rapace, Olivia Jewson, Abdellatif Chaouqi, Sophie Nélisse"
Sometimes Always Never,2018,"Bill Nighy, Sam Riley, Alice Lowe, Jenny Agutter"
Night Hunter,2018,"Henry Cavill, Ben Kingsley, Alexandra Daddario, Stanley Tucci"
The Clovehitch Killer,2018,"Dylan McDermott, Charlie Plummer, Samantha Mathis, Madisen Beaty"
Anthropocene: The Human Epoch,2018,Alicia Vikander
The Wind,2018,"Caitlin Gerard, Julia Goldani Telles, Ashley Zukerman, Dylan McTee"
The Third Wife,2018,"Hong Chuong Nguyen, Long Le Vu, Nu Yên-Khê Tran, Maya"
Hotel Mumbai,2018,"Dev Patel, Armie Hammer, Nazanin Boniadi, Anupam Kher"
Final Score,2018,"Dave Bautista, Pierce Brosnan, Ray Stevenson, Martyn Ford"
Boy Erased,2018,"Lucas Hedges, Nicole Kidman, Joel Edgerton, Russell Crowe"
Suspiria,2018,"Chloë Grace Moretz, Tilda Swinton, Doris Hick, Malgorzata Bela"
The Other Side of the Wind,2018,"John Huston, Oja Kodar, Peter Bogdanovich, Susan Strasberg"
Kin,2018,"Myles Truitt, Jack Reynor, Dennis Quaid, Zoë Kravitz"
Peppermint,2018,"Jennifer Garner, John Gallagher Jr., John Ortiz, Juan Pablo Raba"
Mile 22,2018,"Mark Wahlberg, Lauren Cohan, Iko Uwais, John Malkovich"
14 Cameras,2018,"Zach Dulin, Kodi Saint Angelo, Neville Archambault, Chelsea Edmundson"
Dilili in Paris,2018,"Prunelle Charles-Ambron, Enzo Ratsito, Natalie Dessay, Bruno Paviot"
Jirga,2018,"Sam Smith, Mohammad Mosam, Kefayat Lag Humani, Naqibullah Khan Shinwari"
Hotel Artemis,2018,"Jodie Foster, Sofia Boutella, Dave Bautista, Sterling K. Brown"
Social Animals,2018,"Aya Cash, Carly Chaikin, Josh Radnor, Samira Wiley"
Occupation,2018,"Dan Ewing, Temuera Morrison, Stephany Jacobsen, Rhiannon Fish"
Future World,2018,"James Franco, Suki Waterhouse, Jeff Wahlberg, Margarita Levieva"
Gotti,2018,"John Travolta, Spencer Rocco Lofranco, Kelly Preston, Stacy Keach"
