title,year,Best Supporting Female,Best Screenplay,Best Feature,Best Male Lead,"Best First Feature - Under $500,000",Best Debut Performance,Best Cinematography,Best International Film,Best Director,Best Documentary,Best Film Music,Best Foreign Film,"Best Feature - Under $500,000",Best Female Lead,Best First Screenplay,Best Supporting Male,Best First Feature,Best Editing,Best Original Score,"Best First Feature - Over $500,000"
12 Years a Slave,2014,Lupita Nyong'o,John Ridley,"Dede Gardner, Anthony Katagas, Jeremy Kleiner, Steve McQueen, Arnon Milchan, Brad Pitt, Bill Pohlad",,,,Sean Bobbitt,,Steve McQueen,,,,,,,,,,,
127 Hours,2011,,,,James Franco,,,,,,,,,,,,,,,,
50/50,2012,,,,,,,,,,,,,,,Will Reiser,,,,,
500 Days of Summer,2010,,"Scott Neustadter, Michael H. Weber",,,,,,,,,,,,,,,,,,
A Fantastic Woman,2018,,,,,,,,Sebastián Lelio,,,,,,,,,,,,
A Separation,2012,,,,,,,,Asghar Farhadi,,,,,,,,,,,,
A Serious Man,2010,,,,,,,Roger Deakins,,,,,,,,,,,,,
After Hours,1986,,,"Robert F. Colesberry, Griffin Dunne, Amy Robinson",,,,,,Martin Scorsese,,,,,,,,,,,
Afterglow,1998,,,,,,,,,,,,,,Julie Christie,,,,,,
American Factory,2020,,,,,,,,,,"Steven Bognar, Julia Reichert, Julie Parker Benello, Jeff Reichert",,,,,,,,,,
American Heart,1994,,,,Jeff Bridges,,,,,,,,,,,,,,,,
Amour,2013,,,,,,,,Michael Haneke,,,,,,,,,,,,
Amélie,2002,,,,,,,,,,,,Jean-Pierre Jeunet,,,,,,,,
An Angel at My Table,1992,,,,,,,,,,,,Jane Campion,,,,,,,,
An Education,2010,,,,,,,,,,,,Lone Scherfig,,,,,,,,
Antwone Fisher,2003,,,,Derek Luke,,,,,,,,,,,,,,,,
Anvil: The Story of Anvil,2010,,,,,,,,,,Sacha Gervasi,,,,,,,,,,
Bad Lieutenant,1993,,,,Harvey Keitel,,,,,,,,,,,,,,,,
Barcelona,1995,,,,,,,John Thomas,,,,,,,,,,,,,
Basquiat,1997,,,,,,,,,,,,,,,,Benicio Del Toro,,,,
Beasts of No Nation,2016,,,,Abraham Attah,,,,,,,,,,,,Idris Elba,,,,
Beasts of the Southern Wild,2013,,,,,,,Ben Richardson,,,,,,,,,,,,,
Before Night Falls,2001,,,,Javier Bardem,,,,,,,,,,,,,,,,
Before the Rain,1996,,,,,,,,,,,,Milcho Manchevski,,,,,,,,
Beginners,2012,,,,,,,,,,,,,,,,Christopher Plummer,,,,
Being John Malkovich,2000,,,,,,,,,,,,,,,Charlie Kaufman,,,,,"Spike Jonze (director), Michael Stipe (producer), Sandy Stern (producer), Steve Golin (producer), Vincent Landay (producer)"
Big Night,1997,,,,,,,,,,,,,,,"Joseph Tropiano, Stanley Tucci",,,,,
Birdman or (The Unexpected Virtue of Ignorance),2015,,,"Alejandro G. Iñárritu, John Lesher, Arnon Milchan, James W. Skotchdopole",Michael Keaton,,,Emmanuel Lubezki,,,,,,,,,,,,,
Black Swan,2011,,,"Mike Medavoy, Arnold Messer, Brian Oliver, Scott Franklin",,,,Matthew Libatique,,Darren Aronofsky,,,,,Natalie Portman,,,,,,
Blood Simple,1986,,,,M. Emmet Walsh,,,,,Joel Coen,,,,,,,,,,,
Blue Is the Warmest Colour,2014,,,,,,,,Abdellatif Kechiche,,,,,,,,,,,,
Blue Jasmine,2014,,,,,,,,,,,,,,Cate Blanchett,,,,,,
Blue Velvet,1987,,,,,,,,,,,,,,Isabella Rossellini,,,,,,
Booksmart,2020,,,,,,,,,,,,,,,,,"Olivia Wilde, Chelsea Barnard, David Distenfeld, Jessica Elbaum, Megan Ellison, Katie Silberman",,,
